mixture_ID,speaker_1_ID,speaker_1_sex
6836-61803-0043,6836,M
4406-16882-0032,4406,M
2989-138035-0054,2989,F
3259-158083-0006,3259,F
7447-91186-0015,7447,M
6563-285357-0032,6563,M
2911-15045-0017,2911,M
1447-130550-0002,1447,F
5688-15787-0015,5688,F
7178-34645-0013,7178,F
2817-142371-0068,2817,F
3664-178366-0007,3664,M
4214-7146-0029,4214,F
1098-133695-0015,1098,F
3723-171631-0032,3723,M
27-124992-0032,27,M
1926-143879-0011,1926,F
4406-16883-0006,4406,M
2289-152253-0030,2289,M
1034-121119-0089,1034,M
322-124147-0032,322,F
8095-274348-0000,8095,M
1455-134435-0019,1455,M
1737-148989-0012,1737,F
7367-86737-0040,7367,M
3699-175950-0000,3699,M
1088-134315-0023,1088,F
1594-135914-0106,1594,M
1246-135815-0000,1246,F
1455-138263-0011,1455,M
4340-15220-0100,4340,F
118-47824-0002,118,M
2989-138035-0019,2989,F
2289-152253-0010,2289,M
2836-5354-0034,2836,F
4014-186179-0017,4014,M
2007-149877-0061,2007,F
5104-33406-0014,5104,M
6563-285357-0026,6563,M
2007-132570-0003,2007,F
2391-145015-0063,2391,F
1081-128618-0012,1081,M
3240-131231-0052,3240,M
229-130880-0058,229,M
332-128985-0009,332,M
1502-122619-0023,1502,F
1970-26100-0036,1970,F
150-132655-0026,150,F
39-121915-0004,39,F
7635-105409-0037,7635,F
7078-271888-0084,7078,F
4014-186183-0021,4014,M
8014-112602-0024,8014,F
2989-138035-0048,2989,F
5463-39173-0051,5463,M
6081-41997-0006,6081,M
4195-17507-0036,4195,F
587-54108-0039,587,F
6415-100596-0012,6415,F
1898-145720-0011,1898,F
150-132655-0034,150,F
7402-59171-0026,7402,M
5456-24741-0002,5456,M
4859-26870-0020,4859,M
5561-41616-0018,5561,F
4195-186236-0027,4195,F
2911-7601-0001,2911,M
4441-76263-0032,4441,M
200-126784-0034,200,F
7190-90542-0061,7190,M
405-130894-0077,405,M
27-124992-0065,27,M
125-121124-0003,125,F
4014-186176-0029,4014,M
481-123720-0020,481,M
26-495-0080,26,M
1447-130550-0018,1447,F
8838-298546-0041,8838,M
7190-90543-0026,7190,M
7190-90542-0062,7190,M
5561-41615-0005,5561,F
3607-29116-0014,3607,M
248-130644-0036,248,F
4340-15220-0085,4340,F
6836-61803-0024,6836,M
7190-90542-0036,7190,M
1098-133695-0077,1098,F
6476-96661-0016,6476,F
6836-76549-0004,6836,M
3242-67168-0034,3242,M
481-123719-0012,481,M
322-124146-0011,322,F
7402-59171-0030,7402,M
5192-19397-0058,5192,M
5022-29405-0026,5022,F
730-358-0006,730,F
3983-5371-0002,3983,F
4014-186183-0022,4014,M
328-129766-0010,328,F
1098-133695-0011,1098,F
8108-280354-0018,8108,M
2007-149877-0042,2007,F
445-123857-0003,445,M
1926-143879-0016,1926,F
8063-274117-0002,8063,M
1447-17506-0000,1447,F
8238-283452-0030,8238,F
5561-39621-0039,5561,F
2391-145015-0012,2391,F
250-142286-0011,250,F
118-47824-0046,118,M
5456-24741-0007,5456,M
103-1240-0015,103,F
3240-131231-0056,3240,M
3214-167602-0013,3214,M
5192-19396-0022,5192,M
5456-24741-0017,5456,M
1081-125237-0045,1081,M
8123-275209-0021,8123,F
1235-135884-0036,1235,M
2764-36617-0014,2764,F
4014-186176-0036,4014,M
7402-90848-0012,7402,M
403-216-0014,403,F
730-360-0011,730,F
7190-90542-0053,7190,M
83-11691-0030,83,F
3983-5371-0040,3983,F
2136-5143-0010,2136,M
5867-48852-0022,5867,F
211-122442-0082,211,F
5688-41232-0038,5688,F
211-122425-0074,211,F
3879-174923-0017,3879,F
8063-274116-0040,8063,M
8629-261139-0064,8629,M
8088-284756-0008,8088,M
4014-186176-0019,4014,M
2764-36616-0009,2764,F
5867-48852-0020,5867,F
125-121342-0029,125,F
2764-36619-0030,2764,F
1992-141719-0045,1992,F
8975-270782-0052,8975,F
4441-76250-0000,4441,M
5393-19218-0013,5393,F
1963-142393-0038,1963,F
328-129766-0079,328,F
27-124992-0054,27,M
1235-135883-0040,1235,M
2182-181183-0023,2182,F
7078-271888-0064,7078,F
2136-5143-0029,2136,M
211-122442-0066,211,F
332-128985-0088,332,M
2007-132570-0032,2007,F
458-126294-0011,458,M
8063-274112-0040,8063,M
887-123291-0029,887,F
831-130739-0052,831,M
6531-61334-0083,6531,F
730-359-0046,730,F
1926-147987-0003,1926,F
1081-128618-0013,1081,M
8063-274116-0034,8063,M
311-124404-0084,311,M
27-124992-0034,27,M
118-121721-0027,118,M
4340-15220-0097,4340,F
1116-132847-0031,1116,F
4441-76262-0000,4441,M
6880-216547-0068,6880,M
1594-135914-0088,1594,M
4195-186236-0006,4195,F
1183-133255-0009,1183,F
1502-122619-0035,1502,F
5456-24741-0000,5456,M
311-124404-0121,311,M
7278-104730-0022,7278,M
1867-154071-0035,1867,M
8063-274112-0003,8063,M
1963-142776-0017,1963,F
730-358-0033,730,F
831-130739-0011,831,M
6078-54013-0038,6078,F
4014-186175-0005,4014,M
328-129766-0090,328,F
4014-186176-0030,4014,M
3242-67168-0029,3242,M
1624-168623-0053,1624,M
839-130898-0056,839,M
4406-16883-0017,4406,M
3830-12535-0018,3830,M
1898-145715-0049,1898,F
6563-285357-0044,6563,M
1594-135914-0101,1594,M
1841-150351-0019,1841,F
3242-67168-0020,3242,M
3830-12529-0005,3830,M
696-93314-0002,696,F
8051-118101-0016,8051,F
8629-261139-0030,8629,M
446-123502-0047,446,M
3242-8112-0032,3242,M
201-127786-0049,201,M
27-124992-0078,27,M
150-132655-0000,150,F
1926-143879-0029,1926,F
2196-170151-0034,2196,F
5339-14134-0032,5339,F
8063-274116-0020,8063,M
1069-133709-0003,1069,F
5393-19219-0053,5393,F
4195-17507-0003,4195,F
6925-80680-0070,6925,M
2007-132570-0009,2007,F
5049-25947-0089,5049,M
2436-2481-0007,2436,M
27-124992-0044,27,M
5514-19192-0000,5514,F
2002-139469-0059,2002,M
6078-54013-0068,6078,F
1992-141719-0044,1992,F
7302-86815-0039,7302,F
1898-145715-0002,1898,F
5561-39621-0016,5561,F
2136-5143-0007,2136,M
6531-61334-0065,6531,F
2843-152918-0079,2843,M
27-124992-0058,27,M
4014-186176-0022,4014,M
1578-140049-0002,1578,F
2952-410-0058,2952,M
458-126305-0019,458,M
2989-138028-0044,2989,F
5192-19397-0003,5192,M
730-358-0056,730,F
839-130898-0013,839,M
7302-86815-0020,7302,F
5652-19215-0041,5652,F
27-124992-0031,27,M
6078-54007-0024,6078,F
2289-152257-0018,2289,M
669-129061-0014,669,F
8468-286673-0040,8468,F
2817-142371-0010,2817,F
5339-14133-0053,5339,F
4195-17507-0035,4195,F
4640-19188-0004,4640,F
3982-178459-0007,3982,F
4014-186179-0046,4014,M
8468-286673-0009,8468,F
1898-145724-0036,1898,F
1183-128659-0010,1183,F
7113-86041-0042,7113,F
5652-19215-0027,5652,F
3242-67153-0021,3242,M
3242-8112-0023,3242,M
8797-294123-0046,8797,M
6064-56165-0008,6064,F
254-27760-0006,254,M
458-126294-0001,458,M
3440-171006-0024,3440,F
669-129074-0018,669,F
7278-246956-0002,7278,M
460-172359-0081,460,M
8747-293952-0056,8747,M
1737-148989-0011,1737,F
5456-58161-0018,5456,M
1502-122619-0062,1502,F
6925-80680-0024,6925,M
8629-261139-0073,8629,M
1867-148436-0031,1867,M
4640-19188-0000,4640,F
5867-48852-0026,5867,F
2952-410-0000,2952,M
7402-90848-0045,7402,M
1502-122619-0090,1502,F
1363-135842-0008,1363,F
3947-13262-0016,3947,F
311-124404-0062,311,M
4680-16026-0006,4680,F
1502-122615-0026,1502,F
2384-152900-0031,2384,M
8324-286681-0022,8324,F
27-124992-0003,27,M
307-127535-0045,307,M
3374-298025-0009,3374,M
4813-248641-0013,4813,M
3879-173592-0013,3879,F
6081-41998-0003,6081,M
4898-28461-0054,4898,M
26-495-0030,26,M
6385-220959-0040,6385,F
211-122425-0058,211,F
1034-121119-0093,1034,M
27-124992-0019,27,M
460-172359-0043,460,M
7302-86815-0022,7302,F
8014-112602-0004,8014,F
1992-141719-0016,1992,F
1263-138246-0034,1263,F
5390-24512-0041,5390,M
8014-112586-0013,8014,F
7148-59157-0010,7148,F
1116-132851-0001,1116,F
730-358-0063,730,F
2289-152258-0010,2289,M
1040-133433-0006,1040,M
730-359-0038,730,F
211-122425-0037,211,F
125-121124-0048,125,F
